time,col,x,y,level,time
20100810,11096,N22,W34,N,99:99
20100810,11097,N33,E58,N,99:99
20100811,11093,N10,W26,N,99:99
20100811,11095,S17,W34,N,99:99
20100811,11096,N21,W47,N,99:99
20100811,11097,N33,E58,N,99:99
20100811,11098,N15,E14,N,99:99
20100812,11093,N10,W39,N,99:99
20100812,11095,S17,W47,N,99:99
20100812,11096,N21,W60,N,99:99
20100812,11097,N33,E42,N,99:99
20100812,11098,N15,E14,N,99:99
20100813,11093,N10,W52,N,99:99
20100813,11096,N22,W69,N,99:99
20100813,11097,N32,E30,N,99:99
20100813,11098,N14,W00,N,99:99
20100813,11099,N17,W55,N,99:99
20100814,11093,N11,W65,N,99:99
20100814,11098,N15,W13,N,99:99
20100814,11099,N17,W55,N,99:99
20100815,11093,N11,W79,N,99:99
20100815,11099,N18,W72,N,99:99
20100816,11093,N11,W91,N,99:99
20100816,11098,N15,W55,N,99:99
20100816,11099,N18,W87,N,99:99
20100816,11099,N18,W87,C,16:34
20100816,11099,N18,W87,N,99:99
20100816,11099,N18,W87,C,18:23
20100816,11100,S24,E45,N,99:99
20100817,11098,N15,W55,N,99:99
20100817,11099,N17,W91,N,99:99
20100817,11099,N17,W91,N,99:99
20100817,11099,N17,W91,C,16:34
20100817,11100,S24,E45,N,99:99
20100818,11098,N14,W69,N,99:99
20100818,11100,S23,E35,N,99:99
20100819,11098,N14,W81,N,99:99
20100819,11100,S22,E22,N,99:99
20100820,11100,S23,E08,N,99:99
20100821,11100,S27,W09,N,99:99
20100822,11097,N28,W87,N,99:99
20100822,11100,S27,W22,N,99:99
20100823,11097,N28,W91,N,99:99
20100823,11100,S27,W35,N,99:99
20100824,11100,S27,W48,N,99:99
20100825,11100,S19,W78,N,99:99
20100825,11101,N12,E65,N,99:99
20100826,11100,S19,W78,N,99:99
20100826,11101,N12,E47,N,99:99
20100827,11100,S20,W91,N,99:99
20100827,11101,N13,E34,N,99:99
20100828,11101,N12,E20,N,99:99
20100829,11101,N12,E07,N,99:99
20100829,11102,N27,W27,N,99:99
20100830,11101,N12,W07,N,99:99
20100830,11102,N27,W27,N,99:99
20100831,11101,N13,W20,N,99:99
20100831,11102,N28,W40,N,99:99
20100901,11101,N12,W33,N,99:99
20100901,11102,N28,W54,N,99:99
20100901,11103,N25,W46,N,99:99
20100901,11104,N24,W41,N,99:99
20100902,11101,N12,W46,N,99:99
20100902,11102,N26,W66,N,99:99
20100902,11103,N25,W46,N,99:99
20100902,11104,N24,W41,N,99:99
20100902,11105,N19,W23,N,99:99
20100903,11101,N12,W59,N,99:99
20100903,11102,N27,W77,N,99:99
20100903,11103,N25,W62,N,99:99
20100903,11105,N19,W23,N,99:99
20100904,11101,N12,W71,N,99:99
20100904,11102,N26,W90,N,99:99
20100904,11103,N25,W77,N,99:99
20100904,11105,N18,W36,N,99:99
20100905,11101,N12,W84,N,99:99
20100905,11103,N26,W90,N,99:99
20100905,11105,N18,W50,N,99:99
20100906,11101,N13,W91,N,99:99
20100906,11103,N25,W91,N,99:99
20100906,11105,N19,W66,N,99:99
20100906,11105,N19,W66,C,14:54
20100906,11105,N19,W66,N,99:99
20100907,11105,N19,W78,N,99:99
20100907,11105,N19,W78,N,99:99
20100907,11105,N19,W78,C,14:54
20100908,11105,N19,W91,N,99:99
20100908,11105,N19,W91,C,23:05
20100908,11105,N19,W91,N,99:99
20100909,11105,N19,W91,N,99:99
20100909,11105,N19,W91,N,99:99
20100909,11105,N19,W91,C,23:05
20100912,11106,S18,E50,N,99:99
20100912,11107,N33,E49,N,99:99
20100913,11106,S19,E43,N,99:99
20100913,11107,N33,E49,N,99:99
20100914,11106,S19,E30,N,99:99
20100915,11106,S19,E16,N,99:99
20100916,11106,S20,E04,N,99:99
20100916,11108,S28,E55,N,99:99
20100917,11106,S20,W09,N,99:99
20100917,11108,S28,E55,N,99:99
20100917,11108,S28,E55,C,01:17
20100917,11108,S28,E55,N,99:99
20100918,11106,S20,W22,N,99:99
20100918,11108,S28,E45,N,99:99
20100918,11108,S28,E45,N,99:99
20100918,11108,S28,E45,C,01:17
20100919,11106,S20,W35,N,99:99
20100919,11108,S28,E35,N,99:99
20100920,11106,S20,W48,N,99:99
20100920,11108,S30,E22,N,99:99
20100921,11106,S21,W67,N,99:99
